usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s
004;va;15;f;198.09999999999999;0;13;332.60000000000002;198.09999999999999
004;va;15;s;117.8;-19.608;14;117.8;49.3
004;va;15;s;49.2;-2.092;14;117.8;49.3
004;va;15;s;67.0;8.425;14;117.8;49.3
004;va;15;s;84.1;5.887;14;117.8;49.3
004;va;15;s;85.1;4.626;14;117.8;49.3
004;va;15;s;67.7;3.212;14;117.8;49.3
004;va;15;s;48.9;1.246;14;117.8;49.3
004;va;15;s;100.3;8.185;14;117.8;49.3
004;va;15;s;50.5;3.873;14;117.8;49.3
004;va;15;s;66.6;2.254;14;117.8;49.3
004;va;15;s;116.0;4.126;14;117.8;49.3
004;va;15;s;49.2;-11.095;14;117.8;49.3
004;va;15;s;67.1;-4.758;14;117.8;49.3
004;va;15;s;49.3;-1.528;14;117.8;49.3
004;va;16;f;266.10000000000002;0;15;266.10000000000002;233.19999999999999
004;va;16;f;99.900000000000006;0;15;266.10000000000002;233.19999999999999
004;va;16;f;514.79999999999995;0;15;266.10000000000002;233.19999999999999
004;va;16;f;183.30000000000001;0;15;266.10000000000002;233.19999999999999
004;va;16;f;117.2;0;15;266.10000000000002;233.19999999999999
004;va;16;f;133.0;0;15;266.10000000000002;233.19999999999999
004;va;16;f;149.09999999999999;0;15;266.10000000000002;233.19999999999999
004;va;16;f;149.40000000000001;0;15;266.10000000000002;233.19999999999999
004;va;16;f;100.0;0;15;266.10000000000002;233.19999999999999
004;va;16;f;149.19999999999999;0;15;266.10000000000002;233.19999999999999
004;va;16;f;299.89999999999998;0;15;266.10000000000002;233.19999999999999
004;va;16;f;81.5;0;15;266.10000000000002;233.19999999999999
004;va;16;f;149.40000000000001;0;15;266.10000000000002;233.19999999999999
004;va;16;f;416.89999999999998;0;15;266.10000000000002;233.19999999999999
004;va;16;f;233.19999999999999;0;15;266.10000000000002;233.19999999999999
004;va;16;s;50.8;1.833;19;50.8;84.2
004;va;16;s;49.4;1.292;19;50.8;84.2
004;va;16;s;83.8;-5.099;19;50.8;84.2
004;va;16;s;49.0;4.667;19;50.8;84.2
004;va;16;s;50.5;-1.116;19;50.8;84.2
004;va;16;s;133.5;10.122;19;50.8;84.2
004;va;16;s;100.2;7.047;19;50.8;84.2
004;va;16;s;100.0;3.351;19;50.8;84.2
004;va;16;s;83.3;7.091;19;50.8;84.2
004;va;16;s;100.0;4.671;19;50.8;84.2
004;va;16;s;50.2;3.051;19;50.8;84.2
004;va;16;s;50.5;1.975;19;50.8;84.2
004;va;16;s;150.4;-25.984;19;50.8;84.2
004;va;16;s;83.7;5.408;19;50.8;84.2
004;va;16;s;50.3;-1.854;19;50.8;84.2
004;va;16;s;82.9;-3.118;19;50.8;84.2
004;va;16;s;133.1;-6.605;19;50.8;84.2
004;va;16;s;133.0;7.053;19;50.8;84.2
004;va;16;s;84.2;-2.874;19;50.8;84.2
004;va;17;f;366.30000000000001;0;13;366.30000000000001;182.59999999999999
004;va;17;f;299.5;0;13;366.30000000000001;182.59999999999999
004;va;17;f;84.400000000000006;0;13;366.30000000000001;182.59999999999999
004;va;17;f;81.299999999999997;0;13;366.30000000000001;182.59999999999999
004;va;17;f;133.09999999999999;0;13;366.30000000000001;182.59999999999999
004;va;17;f;149.40000000000001;0;13;366.30000000000001;182.59999999999999
004;va;17;f;117.2;0;13;366.30000000000001;182.59999999999999
004;va;17;f;117.3;0;13;366.30000000000001;182.59999999999999
004;va;17;f;282.39999999999998;0;13;366.30000000000001;182.59999999999999
004;va;17;f;99.900000000000006;0;13;366.30000000000001;182.59999999999999
004;va;17;f;116.90000000000001;0;13;366.30000000000001;182.59999999999999
004;va;17;f;316.5;0;13;366.30000000000001;182.59999999999999
